vessel;voy;port;terminal;berth;title;date;time;obl
m/s Canard;23;Houston;Chevron;4;End of Sea Passage;2-5-2018;6:15;
m/s Canard;23;Houston;Chevron;4;Pilot Boarded;2-5-2018;6:50;
m/s Canard;23;Houston;Chevron;4;NOR tendered;2-5-2018;6:15;
m/s Canard;23;Houston;Chevron;4;NOR Accepted;2-5-2018;10:00;
m/s Canard;23;Houston;Chevron;4;First line ashore;2-5-2018;08:08;
m/s Canard;23;Houston;Chevron;4;Berthed;2-5-2018;08:25;
m/s Canard;23;Houston;Chevron;4;Gangway down;2-5-2018;09:00;
m/s Canard;23;Houston;Chevron;4;Surveyor on board;2-5-2018;09:15;10
m/s Canard;23;Houston;Chevron;4;Tanks sampled;2-5-2018;10:00;10
m/s Canard;23;Houston;Chevron;4;Arm/Hose Connected;2-5-2018;09:40;10
m/s Canard;23;Houston;Chevron;4;Analysis passed;2-5-2018;11:20;10
m/s Canard;23;Houston;Chevron;4;Commenced Discharge;2-5-2018;11:25;10
m/s Canard;23;Houston;Chevron;4;Stopped Discharge;2-5-2018;15:15;10
m/s Canard;23;Houston;Chevron;4;Resumed Discharge;2-5-2018;14:25;10
m/s Canard;23;Houston;Chevron;4;Completed Discharge;2-5-2018;20:10;10
m/s Canard;23;Houston;Chevron;4;Dry tank certificate;2-5-2018;20:25;10
m/s Canard;23;Houston;Chevron;4;Arm/Hose Disconnected;2-5-2018;20:35;10
m/s Canard;23;Houston;Chevron;4;Cargo Documents on Board;2-5-2018;20:40;10
m/s Canard;23;Houston;Chevron;4;Sailed;2-5-2018;23:00;
;;;;;;;;
